time_s,mode,person_id,x_m,y_m,z_m,state,activity
3.5,class_mode,3,4.925,3.65,0.04,standing,walking
3.5,class_mode,4,9.03,3.581,0.04,standing,walking
3.5,class_mode,5,0.646,4.076,0.04,standing,walking
3.5,class_mode,6,4.585,3.635,0.04,standing,walking
3.5,class_mode,7,9.03,3.194,0.04,standing,walking
3.5,class_mode,8,9.03,2.856,0.04,standing,walking
3.5,class_mode,9,0.72,2.72,0.04,standing,walking
3.5,class_mode,10,0.709,2.658,0.04,standing,walking
3.5,class_mode,11,3.698,2.513,0.04,standing,walking
3.5,class_mode,12,3.203,2.346,0.04,standing,walking
3.5,class_mode,13,0.627,2.216,0.04,standing,walking
3.5,class_mode,14,0.614,2.17,0.04,standing,walking
3.5,class_mode,15,0.507,2.011,0.04,standing,walking
3.5,class_mode,16,0.374,1.565,0.04,standing,walking
3.5,class_mode,17,0.621,7.227,0.04,standing,walking
3.5,class_mode,18,4.849,6.742,0.04,standing,walking
3.5,class_mode,19,9.03,5.817,0.04,standing,walking
3.5,class_mode,20,9.03,4.703,0.04,standing,walking
3.5,class_mode,21,0.699,3.836,0.04,standing,walking
3.5,class_mode,22,4.274,2.953,0.04,standing,walking
3.5,class_mode,23,5.565,2.716,0.04,standing,walking
3.5,class_mode,24,7.589,2.627,0.04,standing,walking
3.5,class_mode,25,0.674,2.471,0.04,standing,walking
3.5,class_mode,26,0.644,2.308,0.04,standing,walking
3.5,class_mode,27,0.88,2.197,0.04,standing,walking
3.5,class_mode,28,0.598,2.135,0.04,standing,walking
3.5,class_mode,29,0.471,1.919,0.04,standing,walking
3.5,class_mode,30,0.353,1.78,0.04,standing,walking
3.5,class_mode,33,0.658,7.792,0.237,standing,walking
3.5,class_mode,34,4.501,5.778,0.158,standing,walking
3.5,class_mode,35,9.03,3.99,0.089,standing,walking
3.5,class_mode,36,9.03,2.88,0.046,standing,walking
3.5,class_mode,37,0.717,2.703,0.04,standing,walking
3.5,class_mode,38,0.696,2.592,0.04,standing,walking
3.5,class_mode,39,2.916,2.429,0.04,standing,walking
3.5,class_mode,40,2.061,2.273,0.04,standing,walking
3.5,class_mode,41,0.621,2.184,0.04,standing,walking
3.5,class_mode,42,0.573,2.074,0.04,standing,walking
3.5,class_mode,43,0.435,1.81,0.04,standing,walking
3.5,class_mode,44,0.342,1.693,0.04,standing,walking
3.5,class_mode,57,4.025,1.35,0.16,standing,blackboard-writing
3.75,class_mode,1,0.719,3.65,0.04,standing,walking
3.75,class_mode,2,4.351,3.65,0.04,standing,walking
3.75,class_mode,3,5.334,3.65,0.04,standing,walking
3.75,class_mode,4,9.03,3.65,0.04,standing,discussion
3.75,class_mode,5,0.631,4.55,0.04,standing,walking
3.75,class_mode,6,4.924,4.55,0.04,standing,walking
3.75,class_mode,7,9.03,4.445,0.04,standing,walking
3.75,class_mode,8,9.03,4.126,0.04,standing,walking
3.75,class_mode,9,0.667,4.17,0.04,standing,walking
3.75,class_mode,10,0.691,3.505,0.04,standing,walking
3.75,class_mode,11,5.542,2.972,0.04,standing,walking
3.75,class_mode,12,9.03,2.724,0.04,standing,walking
3.75,class_mode,13,0.711,2.672,0.04,standing,walking
3.75,class_mode,14,2.996,2.534,0.04,standing,walking
3.75,class_mode,15,2.337,2.366,0.04,standing,walking
3.75,class_mode,16,1.371,2.228,0.04,standing,walking
3.75,class_mode,17,0.673,7.25,0.04,standing,walking
3.75,class_mode,18,4.742,7.25,0.04,standing,walking
3.75,class_mode,19,9.03,7.25,0.04,standing,discussion
3.75,class_mode,20,9.03,7.244,0.04,standing,walking
3.75,class_mode,21,0.629,7.649,0.04,standing,walking
3.75,class_mode,22,4.73,6.589,0.04,standing,walking
3.75,class_mode,23,5.286,5.265,0.04,standing,walking
3.75,class_mode,24,9.03,3.979,0.04,standing,walking
3.75,class_mode,25,0.714,3.085,0.046,standing,walking
3.75,class_mode,26,0.72,2.719,0.04,standing,walking
3.75,class_mode,27,7.838,2.643,0.04,standing,walking
3.75,class_mode,28,5.486,2.492,0.04,standing,walking
3.75,class_mode,29,0.647,2.326,0.04,standing,walking
3.75,class_mode,30,0.792,2.206,0.04,standing,walking
3.75,class_mode,31,0.607,2.147,0.04,standing,walking
3.75,class_mode,32,0.489,1.886,0.04,standing,walking
3.75,class_mode,33,0.624,10.85,0.355,standing,walking
3.75,class_mode,34,4.917,10.759,0.351,standing,walking
3.75,class_mode,35,9.03,9.765,0.313,standing,walking
3.75,class_mode,36,9.03,8.037,0.246,standing,walking
3.75,class_mode,37,0.679,6.393,0.211,standing,walking
3.75,class_mode,38,0.702,4.348,0.116,standing,walking
3.75,class_mode,39,5.584,2.994,0.053,standing,walking
3.75,class_mode,40,8.881,2.71,0.04,standing,walking
3.75,class_mode,41,0.7,2.61,0.04,standing,walking
3.75,class_mode,42,3.112,2.45,0.04,standing,walking
3.75,class_mode,43,2.326,2.29,0.04,standing,walking
3.75,class_mode,44,0.769,2.19,0.04,standing,walking
3.75,class_mode,45,0.586,2.129,0.04,standing,walking
3.75,class_mode,46,0.453,1.762,0.04,standing,walking
3.75,class_mode,47,0.346,1.563,0.04,standing,walking
3.75,class_mode,57,4.025,1.35,0.16,standing,blackboard-writing
4.0,class_mode,1,1.118,3.65,0.04,sitting,writing
4.0,class_mode,2,3.984,3.65,0.04,standing,walking
4.0,class_mode,3,5.635,3.65,0.04,standing,walking
4.0,class_mode,4,9.03,3.65,0.04,standing,discussion
4.0,class_mode,5,0.707,4.55,0.04,standing,walking
4.0,class_mode,6,4.493,4.55,0.04,standing,walking
4.0,class_mode,7,9.03,4.55,0.04,standing,discussion
4.0,class_mode,8,9.03,4.55,0.04,standing,discussion
4.0,class_mode,9,0.621,5.45,0.04,standing,walking
4.0,class_mode,10,0.624,5.333,0.04,standing,walking
4.0,class_mode,11,5.065,4.889,0.04,standing,walking
4.0,class_mode,12,9.03,4.255,0.04,standing,walking
4.0,class_mode,13,0.688,3.869,0.04,standing,walking
4.0,class_mode,14,4.321,3.127,0.04,standing,walking
4.0,class_mode,15,5.602,2.738,0.04,standing,walking
4.0,class_mode,16,8.467,2.684,0.04,standing,walking
4.0,class_mode,17,0.762,7.25,0.04,standing,walking
4.0,class_mode,18,4.261,7.25,0.04,standing,walking
4.0,class_mode,19,9.03,7.25,0.04,standing,discussion
4.0,class_mode,20,9.03,7.25,0.04,standing,discussion
4.0,class_mode,21,0.65,8.15,0.04,standing,walking
4.0,class_mode,22,4.866,8.15,0.04,standing,walking
4.0,class_mode,23,4.925,8.15,0.04,standing,walking
4.0,class_mode,24,9.03,7.748,0.04,standing,walking
4.0,class_mode,25,0.646,7.409,0.118,standing,walking
4.0,class_mode,26,0.67,5.885,0.092,standing,walking
4.0,class_mode,27,9.03,4.361,0.067,standing,walking
4.0,class_mode,28,9.03,3.189,0.048,standing,walking
4.0,class_mode,29,0.72,2.72,0.04,standing,walking
4.0,class_mode,30,3.831,2.658,0.04,standing,walking
4.0,class_mode,31,3.698,2.513,0.04,standing,walking
4.0,class_mode,32,3.203,2.346,0.04,standing,walking
4.0,class_mode,33,0.696,10.85,0.355,standing,walking
4.0,class_mode,34,4.585,10.85,0.355,standing,walking
4.0,class_mode,35,9.03,10.85,0.355,standing,discussion
4.0,class_mode,36,9.03,10.85,0.355,standing,discussion
4.0,class_mode,37,0.621,11.704,0.458,standing,walking
4.0,class_mode,38,0.631,10.738,0.413,standing,walking
4.0,class_mode,39,5.14,8.893,0.327,standing,walking
4.0,class_mode,40,9.03,6.672,0.224,standing,walking
4.0,class_mode,41,0.699,4.761,0.148,standing,walking
4.0,class_mode,42,5.576,3.147,0.063,standing,walking
4.0,class_mode,43,8.963,2.716,0.04,standing,walking
4.0,class_mode,44,7.589,2.627,0.04,standing,walking
4.0,class_mode,45,0.674,2.471,0.04,standing,walking
4.0,class_mode,46,1.476,2.308,0.04,standing,walking
4.0,class_mode,47,0.774,2.197,0.04,standing,walking
4.0,class_mode,48,0.598,2.135,0.04,standing,walking
4.0,class_mode,57,4.025,1.35,0.16,standing,blackboard-writing
4.25,class_mode,1,1.464,3.65,0.04,sitting,writing
4.25,class_mode,2,3.253,3.65,0.04,sitting,writing
4.25,class_mode,3,6.056,3.65,0.04,sitting,writing
4.25,class_mode,4,8.352,3.65,0.04,sitting,writing
4.25,class_mode,5,1.195,4.55,0.04,standing,walking
4.25,class_mode,6,4.17,4.55,0.04,standing,walking
4.25,class_mode,7,9.03,4.55,0.04,standing,discussion
4.25,class_mode,8,9.03,4.55,0.04,standing,discussion
4.25,class_mode,9,0.687,5.45,0.04,standing,walking
4.25,class_mode,10,0.66,5.45,0.04,standing,walking
4.25,class_mode,11,5.031,5.45,0.04,standing,walking
4.25,class_mode,12,9.03,5.45,0.04,standing,discussion
4.25,class_mode,13,0.623,6.24,0.04,standing,walking
4.25,class_mode,14,4.802,5.695,0.04,standing,walking
4.25,class_mode,15,5.202,4.874,0.04,standing,walking
4.25,class_mode,16,9.03,3.976,0.04,standing,walking
4.25,class_mode,17,1.979,7.25,0.04,sitting,writing
4.25,class_mode,18,3.741,7.25,0.04,standing,walking
4.25,class_mode,19,8.566,7.25,0.04,standing,walking
4.25,class_mode,20,8.984,7.25,0.04,standing,walking
4.25,class_mode,21,0.719,8.15,0.04,standing,walking
4.25,class_mode,22,4.351,8.15,0.04,standing,walking
4.25,class_mode,23,5.334,8.15,0.04,standing,walking
4.25,class_mode,24,9.03,8.15,0.04,standing,discussion
4.25,class_mode,25,0.631,9.05,0.145,standing,walking
4.25,class_mode,26,0.62,9.05,0.145,standing,walking
4.25,class_mode,27,9.03,8.685,0.139,standing,walking
4.25,class_mode,28,9.03,7.582,0.121,standing,walking
4.25,class_mode,29,0.667,6.561,0.152,standing,walking
4.25,class_mode,30,4.44,4.798,0.1,standing,walking
4.25,class_mode,31,5.542,3.387,0.059,standing,walking
4.25,class_mode,32,9.03,2.729,0.04,standing,walking
4.25,class_mode,33,0.846,10.85,0.355,standing,walking
4.25,class_mode,34,4.23,10.85,0.355,standing,walking
4.25,class_mode,35,9.03,10.85,0.355,standing,discussion
4.25,class_mode,36,9.03,10.85,0.355,standing,discussion
4.25,class_mode,37,0.673,11.75,0.46,standing,walking
4.25,class_mode,38,0.647,11.75,0.46,standing,walking
4.25,class_mode,39,4.971,11.75,0.46,standing,walking
4.25,class_mode,40,9.03,11.738,0.459,standing,walking
4.25,class_mode,41,0.629,11.734,0.517,standing,walking
4.25,class_mode,42,5.12,9.796,0.414,standing,walking
4.25,class_mode,43,9.03,7.375,0.286,standing,walking
4.25,class_mode,44,9.03,5.023,0.162,standing,walking
4.25,class_mode,45,0.714,3.344,0.076,standing,walking
4.25,class_mode,46,4.238,2.719,0.04,standing,walking
4.25,class_mode,47,4.899,2.643,0.04,standing,walking
4.25,class_mode,48,5.486,2.492,0.04,standing,walking
4.25,class_mode,57,4.025,1.35,0.16,standing,blackboard-writing
4.5,class_mode,1,1.464,3.65,0.04,sitting,writing
4.5,class_mode,2,3.238,3.65,0.04,sitting,writing
4.5,class_mode,3,6.149,3.65,0.04,sitting,writing
4.5,class_mode,4,7.843,3.65,0.04,sitting,writing
4.5,class_mode,5,2.34,4.55,0.04,sitting,writing
4.5,class_mode,6,3.382,4.55,0.04,sitting,writing
4.5,class_mode,7,7.796,4.55,0.04,sitting,writing
4.5,class_mode,8,8.644,4.55,0.04,standing,walking
4.5,class_mode,9,0.791,5.45,0.04,standing,walking
4.5,class_mode,10,0.72,5.45,0.04,standing,walking
4.5,class_mode,11,5.546,5.45,0.04,standing,walking
4.5,class_mode,12,9.03,5.45,0.04,standing,discussion
4.5,class_mode,13,0.663,6.35,0.04,standing,walking
4.5,class_mode,14,4.801,6.35,0.04,standing,walking
4.5,class_mode,15,4.941,6.35,0.04,standing,walking
4.5,class_mode,16,9.03,6.279,0.04,standing,walking
4.5,class_mode,17,2.351,7.25,0.04,sitting,writing
4.5,class_mode,18,3.238,7.25,0.04,sitting,writing
4.5,class_mode,19,7.048,7.25,0.04,sitting,writing
4.5,class_mode,20,8.078,7.25,0.04,sitting,writing
4.5,class_mode,21,1.118,8.15,0.04,sitting,writing
4.5,class_mode,22,3.984,8.15,0.04,standing,walking
4.5,class_mode,23,5.635,8.15,0.04,standing,walking
4.5,class_mode,24,9.03,8.15,0.04,standing,discussion
4.5,class_mode,25,0.707,9.05,0.145,standing,walking
4.5,class_mode,26,0.683,9.05,0.145,standing,walking
4.5,class_mode,27,9.03,9.05,0.145,standing,discussion
4.5,class_mode,28,9.03,9.05,0.145,standing,discussion
4.5,class_mode,29,0.621,9.95,0.25,standing,walking
4.5,class_mode,30,4.896,9.639,0.241,standing,walking
4.5,class_mode,31,5.065,8.464,0.207,standing,walking
4.5,class_mode,32,9.03,6.786,0.158,standing,walking
4.5,class_mode,33,1.422,10.85,0.355,sitting,writing
4.5,class_mode,34,3.499,10.85,0.355,sitting,writing
4.5,class_mode,35,8.085,10.85,0.355,standing,walking
4.5,class_mode,36,8.795,10.85,0.355,standing,walking
4.5,class_mode,37,0.739,11.75,0.46,standing,walking
4.5,class_mode,38,0.718,11.75,0.46,standing,walking
4.5,class_mode,39,5.481,11.75,0.46,standing,walking
4.5,class_mode,40,9.03,11.75,0.46,standing,discussion
4.5,class_mode,41,0.65,12.65,0.565,standing,walking
4.5,class_mode,42,4.984,12.65,0.565,standing,walking
4.5,class_mode,43,9.03,12.65,0.565,standing,walking
4.5,class_mode,44,9.03,11.914,0.526,standing,walking
4.5,class_mode,45,0.646,10.742,0.507,standing,walking
4.5,class_mode,46,4.585,8.135,0.355,standing,walking
4.5,class_mode,47,5.429,5.528,0.203,standing,walking
4.5,class_mode,48,9.03,3.522,0.087,standing,walking
4.5,class_mode,57,4.025,1.35,0.16,standing,blackboard-writing
4.75,class_mode,1,1.464,3.65,0.04,sitting,writing
4.75,class_mode,2,3.238,3.65,0.04,sitting,writing
4.75,class_mode,3,6.149,3.65,0.04,sitting,writing
4.75,class_mode,4,7.843,3.65,0.04,sitting,writing
4.75,class_mode,5,2.351,4.55,0.04,sitting,writing
4.75,class_mode,6,3.238,4.55,0.04,sitting,writing
4.75,class_mode,7,6.996,4.55,0.04,sitting,writing
4.75,class_mode,8,7.845,4.55,0.04,sitting,writing
4.75,class_mode,9,1.376,5.45,0.04,sitting,writing
4.75,class_mode,10,1.765,5.45,0.04,sitting,writing
4.75,class_mode,11,5.8,5.45,0.04,standing,walking
4.75,class_mode,12,8.89,5.45,0.04,standing,walking
4.75,class_mode,13,0.721,6.35,0.04,standing,walking
4.75,class_mode,14,4.291,6.35,0.04,standing,walking
4.75,class_mode,15,5.422,6.35,0.04,standing,walking
4.75,class_mode,16,9.03,6.35,0.04,standing,discussion
4.75,class_mode,17,2.351,7.25,0.04,sitting,writing
4.75,class_mode,18,3.238,7.25,0.04,sitting,writing
4.75,class_mode,19,6.996,7.25,0.04,sitting,writing
4.75,class_mode,20,7.843,7.25,0.04,sitting,writing
4.75,class_mode,21,1.464,8.15,0.04,sitting,writing
4.75,class_mode,22,3.253,8.15,0.04,sitting,writing
4.75,class_mode,23,6.056,8.15,0.04,sitting,writing
4.75,class_mode,24,8.352,8.15,0.04,sitting,writing
4.75,class_mode,25,0.937,9.05,0.145,standing,walking
4.75,class_mode,26,0.841,9.05,0.145,standing,walking
4.75,class_mode,27,9.03,9.05,0.145,standing,discussion
4.75,class_mode,28,9.03,9.05,0.145,standing,discussion
4.75,class_mode,29,0.687,9.95,0.25,standing,walking
4.75,class_mode,30,4.654,9.95,0.25,standing,walking
4.75,class_mode,31,5.031,9.95,0.25,standing,walking
4.75,class_mode,32,9.03,9.95,0.25,standing,discussion
4.75,class_mode,33,1.464,10.85,0.355,sitting,writing
4.75,class_mode,34,3.238,10.85,0.355,sitting,writing
4.75,class_mode,35,6.996,10.85,0.355,sitting,writing
4.75,class_mode,36,7.889,10.85,0.355,sitting,writing
4.75,class_mode,37,1.294,11.75,0.46,sitting,writing
4.75,class_mode,38,1.535,11.75,0.46,standing,walking
4.75,class_mode,39,5.729,11.75,0.46,standing,walking
4.75,class_mode,40,8.95,11.75,0.46,standing,walking
4.75,class_mode,41,0.719,12.65,0.565,standing,walking
4.75,class_mode,42,5.499,12.65,0.565,standing,walking
4.75,class_mode,43,9.03,12.65,0.565,standing,discussion
4.75,class_mode,44,9.03,12.65,0.565,standing,discussion
4.75,class_mode,45,0.631,13.55,0.67,standing,walking
4.75,class_mode,46,4.924,13.55,0.67,standing,walking
4.75,class_mode,47,4.964,12.926,0.634,standing,walking
4.75,class_mode,48,9.03,11.038,0.524,standing,walking
4.75,class_mode,57,4.025,1.35,0.16,standing,blackboard-writing
5.0,class_mode,1,1.464,3.65,0.04,sitting,writing
5.0,class_mode,2,3.238,3.65,0.04,sitting,writing
5.0,class_mode,3,6.149,3.65,0.04,sitting,writing
5.0,class_mode,4,7.843,3.65,0.04,sitting,writing
5.0,class_mode,5,2.351,4.55,0.04,sitting,writing
5.0,class_mode,6,3.238,4.55,0.04,sitting,writing
5.0,class_mode,7,6.996,4.55,0.04,sitting,writing
5.0,class_mode,8,7.843,4.55,0.04,sitting,writing
5.0,class_mode,9,1.464,5.45,0.04,sitting,writing
5.0,class_mode,10,2.351,5.45,0.04,sitting,writing
5.0,class_mode,11,6.149,5.45,0.04,sitting,writing
5.0,class_mode,12,7.956,5.45,0.04,sitting,writing
5.0,class_mode,13,1.222,6.35,0.04,sitting,writing
5.0,class_mode,14,3.849,6.35,0.04,standing,walking
5.0,class_mode,15,5.683,6.35,0.04,standing,walking
5.0,class_mode,16,9.017,6.35,0.04,standing,walking
5.0,class_mode,17,2.351,7.25,0.04,sitting,writing
5.0,class_mode,18,3.238,7.25,0.04,sitting,writing
5.0,class_mode,19,6.996,7.25,0.04,sitting,writing
5.0,class_mode,20,7.843,7.25,0.04,sitting,writing
5.0,class_mode,21,1.464,8.15,0.04,sitting,writing
5.0,class_mode,22,3.238,8.15,0.04,sitting,writing
5.0,class_mode,23,6.149,8.15,0.04,sitting,writing
5.0,class_mode,24,7.843,8.15,0.04,sitting,writing
5.0,class_mode,25,1.459,9.05,0.145,sitting,writing
5.0,class_mode,26,2.117,9.05,0.145,sitting,writing
5.0,class_mode,27,7.796,9.05,0.145,sitting,writing
5.0,class_mode,28,8.644,9.05,0.145,standing,walking
5.0,class_mode,29,0.875,9.95,0.25,standing,walking
5.0,class_mode,30,4.245,9.95,0.25,standing,walking
5.0,class_mode,31,5.546,9.95,0.25,standing,walking
5.0,class_mode,32,9.03,9.95,0.25,standing,discussion
5.0,class_mode,33,1.464,10.85,0.355,sitting,writing
5.0,class_mode,34,3.238,10.85,0.355,sitting,writing
5.0,class_mode,35,6.996,10.85,0.355,sitting,writing
5.0,class_mode,36,7.843,10.85,0.355,sitting,writing
5.0,class_mode,37,1.464,11.75,0.46,sitting,writing
5.0,class_mode,38,2.351,11.75,0.46,sitting,writing
5.0,class_mode,39,6.135,11.75,0.46,sitting,writing
5.0,class_mode,40,7.399,11.75,0.46,sitting,writing
5.0,class_mode,41,1.594,12.65,0.565,sitting,writing
5.0,class_mode,42,5.746,12.65,0.565,standing,walking
5.0,class_mode,43,8.917,12.65,0.565,standing,walking
5.0,class_mode,44,9.03,12.65,0.565,standing,discussion
5.0,class_mode,45,0.707,13.55,0.67,standing,walking
5.0,class_mode,46,4.493,13.55,0.67,standing,walking
5.0,class_mode,47,5.173,13.55,0.67,standing,walking
5.0,class_mode,48,9.03,13.55,0.67,standing,discussion
5.0,class_mode,57,4.025,1.35,0.16,standing,blackboard-writing
5.25,class_mode,1,1.464,3.65,0.04,sitting,writing
5.25,class_mode,2,3.238,3.65,0.04,sitting,writing
5.25,class_mode,3,6.149,3.65,0.04,sitting,writing
5.25,class_mode,4,7.843,3.65,0.04,sitting,writing
5.25,class_mode,5,2.351,4.55,0.04,sitting,writing
5.25,class_mode,6,3.238,4.55,0.04,sitting,writing
5.25,class_mode,7,6.996,4.55,0.04,sitting,writing
5.25,class_mode,8,7.843,4.55,0.04,sitting,writing
5.25,class_mode,9,1.464,5.45,0.04,sitting,writing
5.25,class_mode,10,2.351,5.45,0.04,sitting,writing
5.25,class_mode,11,6.149,5.45,0.04,sitting,writing
5.25,class_mode,12,7.843,5.45,0.04,sitting,writing
5.25,class_mode,13,1.464,6.35,0.04,sitting,writing
5.25,class_mode,14,3.238,6.35,0.04,sitting,writing
5.25,class_mode,15,6.108,6.35,0.04,sitting,writing
5.25,class_mode,16,7.589,6.35,0.04,sitting,writing
5.25,class_mode,17,2.351,7.25,0.04,sitting,writing
5.25,class_mode,18,3.238,7.25,0.04,sitting,writing
5.25,class_mode,19,6.996,7.25,0.04,sitting,writing
5.25,class_mode,20,7.843,7.25,0.04,sitting,writing
5.25,class_mode,21,1.464,8.15,0.04,sitting,writing
5.25,class_mode,22,3.238,8.15,0.04,sitting,writing
5.25,class_mode,23,6.149,8.15,0.04,sitting,writing
5.25,class_mode,24,7.843,8.15,0.04,sitting,writing
5.25,class_mode,25,1.464,9.05,0.145,sitting,writing
5.25,class_mode,26,2.351,9.05,0.145,sitting,writing
5.25,class_mode,27,6.996,9.05,0.145,sitting,writing
5.25,class_mode,28,7.845,9.05,0.145,sitting,writing
5.25,class_mode,29,2.158,9.95,0.25,sitting,writing
5.25,class_mode,30,3.599,9.95,0.25,sitting,writing
5.25,class_mode,31,5.8,9.95,0.25,standing,walking
5.25,class_mode,32,8.89,9.95,0.25,standing,walking
5.25,class_mode,33,1.464,10.85,0.355,sitting,writing
5.25,class_mode,34,3.238,10.85,0.355,sitting,writing
5.25,class_mode,35,6.996,10.85,0.355,sitting,writing
5.25,class_mode,36,7.843,10.85,0.355,sitting,writing
5.25,class_mode,37,1.464,11.75,0.46,sitting,writing
5.25,class_mode,38,2.351,11.75,0.46,sitting,writing
5.25,class_mode,39,6.149,11.75,0.46,sitting,writing
5.25,class_mode,40,6.996,11.75,0.46,sitting,writing
5.25,class_mode,41,2.351,12.65,0.565,sitting,writing
5.25,class_mode,42,6.141,12.65,0.565,sitting,writing
5.25,class_mode,43,7.341,12.65,0.565,sitting,writing
5.25,class_mode,44,8.352,12.65,0.565,sitting,writing
5.25,class_mode,45,0.937,13.55,0.67,standing,walking
5.25,class_mode,46,4.17,13.55,0.67,standing,walking
5.25,class_mode,47,5.604,13.55,0.67,standing,walking
5.25,class_mode,48,9.03,13.55,0.67,standing,discussion
5.25,class_mode,57,4.025,1.35,0.16,standing,blackboard-writing
5.5,class_mode,1,1.464,3.65,0.04,sitting,writing
5.5,class_mode,2,3.238,3.65,0.04,sitting,writing
5.5,class_mode,3,6.149,3.65,0.04,sitting,writing
5.5,class_mode,4,7.843,3.65,0.04,sitting,writing
5.5,class_mode,5,2.351,4.55,0.04,sitting,writing
5.5,class_mode,6,3.238,4.55,0.04,sitting,writing
5.5,class_mode,7,6.996,4.55,0.04,sitting,writing
5.5,class_mode,8,7.843,4.55,0.04,sitting,writing
5.5,class_mode,9,1.464,5.45,0.04,sitting,writing
5.5,class_mode,10,2.351,5.45,0.04,sitting,writing
5.5,class_mode,11,6.149,5.45,0.04,sitting,writing
5.5,class_mode,12,7.843,5.45,0.04,sitting,writing
5.5,class_mode,13,1.464,6.35,0.04,sitting,writing
